id	title	description	availability	condition	price	sale_price	link	image_link	brand	product_type	gtin
COGM	COGUMELO MADEIRA - MORDIDA EXTRA FORTE	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	69.00 BRL		https://www.biobonebrazil.com.br/cogumelo-madeira-mordida-extra-forte?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286805/606a257d920b41b3ba8dbc8662113d97-lcks54flz9.png	Zero Plastic	LANÇAMENTOS	7898975377592
TRIPM	TRIANGULO PEQUENO MADEIRA - MORDIDA EXTRA FORTE	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	89.00 BRL		https://www.biobonebrazil.com.br/triangulo-pequeno-madeira-mordida-extra-forte?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286774/ccea46b86d1a49f6aec5a150bab3935a-anuyt8dplk.png	Zero Plastic	LANÇAMENTOS	7898975377769
TRIPL	TRIANGULO PEQUENO LARANJA - MORDIDA MODERADA	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	89.00 BRL		https://www.biobonebrazil.com.br/triangulo-pequeno-laranja-mordida-moderada?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286775/f50aeb97c6b3480e9a722776f20c9b24-2gb4pw6ebz.png	Zero Plastic	LANÇAMENTOS	7898975377745
TRIGC	TRIANGULO GRANDE CANA - MORDIDA FORTE	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	139.00 BRL		https://www.biobonebrazil.com.br/triangulo-grande-cana-mordida-forte?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286781/6ac41f5b16b2440798de94a05abc1340-5loancz0nz.png	Zero Plastic	LANÇAMENTOS	7898975377714
FERL	FERRADURA LARANJA - MORDIDA MODERADA	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	69.00 BRL		https://www.biobonebrazil.com.br/ferradura-laranja-mordida-moderada?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286802/7bbbc0d793dd456cb38a4e573e383e69-d3nuroyn5q.png	Zero Plastic	LANÇAMENTOS	7898975377653
FERCA	FERRADURA CARNE - MORDIDA EXTRA FORTE	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	69.00 BRL		https://www.biobonebrazil.com.br/ferradura-carne-mordida-extra-forte?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286803/271d7828a89342a19867643951001749-glfiftvk7k.png	Zero Plastic	LANÇAMENTOS	7898975377684
FERC	FERRADURA CANA - MORDIDA FORTE	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	69.00 BRL		https://www.biobonebrazil.com.br/ferradura-cana-mordida-forte?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286804/8a1d097a023847148326cb12d89f9f93-k86tsjse0s.png	Zero Plastic	LANÇAMENTOS	7898975377660
TRIPC	TRIANGULO PEQUENO CANA - MORDIDA FORTE	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	89.00 BRL		https://www.biobonebrazil.com.br/triangulo-pequeno-cana-mordida-forte?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286777/d8ed6dd0aec5467aa29f1ae49c37c9bb-4hutv4tyyz.png	Zero Plastic	LANÇAMENTOS	7898975377752
TRIPCA	TRIANGULO PEQUENO CARNE - MORDIDA EXTRA FORTE	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	89.00 BRL		https://www.biobonebrazil.com.br/triangulo-pequeno-carne-mordida-extra-forte?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286776/55453fcffd5641618c40cfdbeb51c44e-j1m8vao91j.png	Bio Bone	LANÇAMENTOS	7898975377776
FERM	FERRADURA MADEIRA - MORDIDA EXTRA FORTE	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	69.00 BRL		https://www.biobonebrazil.com.br/ferradura-madeira-mordida-extra-forte?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286801/d15be2baf9ae401dadc15057a9ec095c-wny670lrkn.png	Zero Plastic	LANÇAMENTOS	7898975377677
COGCA	COGUMELO CARNE - MORDIDA EXTRA FORTE	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	69.00 BRL		https://www.biobonebrazil.com.br/cogumelo-carne-mordida-extra-forte?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286807/9d375049beaa46fdb7693ba3f4a7007d-0sx98qnjhb.png	Zero Plastic	LANÇAMENTOS	7898975377608
TRIGL	TRIANGULO GRANDE LARANJA - MORDIDA MODERADA	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	139.00 BRL		https://www.biobonebrazil.com.br/triangulo-grande-laranja-mordida-moderada?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286779/75ed1d33e073475cb901b510fdf80813-5k8g6j7gjm.png	Zero Plastic	LANÇAMENTOS	7898975377707
TRIGCA	TRIANGULO GRANDE CARNE - MORDIDA EXTRA FORTE	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	139.00 BRL		https://www.biobonebrazil.com.br/triangulo-grande-carne-mordida-extra-forte?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286780/a06cfead794941a787adaa152a66671c-mgp0bn3had.png	Zero Plastic	LANÇAMENTOS	7898975377738
ARL	ARGOLA LARANJA - MORDIDA MODERADA	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	139.00 BRL		https://www.biobonebrazil.com.br/argola-grande-laranja-mordida-moderada?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/401557994/5d99d66901814920a1a30f3fe2efa8a6-7q3vyu6dux.png	Zero Plastic	PORTE GRANDE > MORDIDA MODERADA	7898975377493
ARC	ARGOLA CANA - MORDIDA FORTE	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	139.00 BRL		https://www.biobonebrazil.com.br/argola-grande-cana-mordida-forte?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/401557992/17bb0b7c4880413a8bac486fc8ed30a0-wkggw8ndax.png	Zero Plastic	PORTE GRANDE > MORDIDA FORTE	7898975377509
14228	CHAVEIRO ARGOLA CANA	CHAVEIRO ARGOLA CANA	in stock	new	9.90 BRL		https://www.biobonebrazil.com.br/chaveiro-argola-cana?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286819/0ba8c3fe0c974dccb3707d6f200c973e-3opfj7t7hx.png	Bio Bone	Sem categoria	
14231	CHAVEIRO ARGOLA LARANJA	CHAVEIRO ARGOLA LARANJA	in stock	new	9.90 BRL		https://www.biobonebrazil.com.br/chaveiro-argola-laranja?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286818/d6da8ad340fb42c3b1491672326d48b0-7mq28fhkqq.png	Bio Bone	Sem categoria	
14234	CHAVEIRO ARGOLA MADEIRA	CHAVEIRO ARGOLA MADEIRA	in stock	new	9.90 BRL		https://www.biobonebrazil.com.br/chaveiro-argola-madeira?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286817/7c83a6702d03487e86a4e209226b276c-u7q0o8199b.png	Bio Bone	Sem categoria	
14227	CHAVEIRO COGUMELO CANA	CHAVEIRO COGUMELO CANA	in stock	new	9.90 BRL		https://www.biobonebrazil.com.br/chaveiro-cogumelo-cana?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286815/e3599667b01b4dc9800542265f0f2f0f-eifl63nni9.png	Bio Bone	Sem categoria	
14230	CHAVEIRO COGUMELO LARANJA	CHAVEIRO COGUMELO LARANJA	in stock	new	9.90 BRL		https://www.biobonebrazil.com.br/chaveiro-cogumelo-laranja?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286814/100a8d114a0046ed9af5ccfc5068728f-97qkx85j4g.png	Bio Bone	Sem categoria	
14233	CHAVEIRO COGUMELO MADEIRA	CHAVEIRO COGUMELO MADEIRA	in stock	new	9.90 BRL		https://www.biobonebrazil.com.br/chaveiro-cogumelo-madeira?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286813/6d28223acb6d493ab3298296dec8a619-4jq6yu9ic9.png	Bio Bone	Sem categoria	
14226	CHAVEIRO RAIO CANA	CHAVEIRO RAIO CANA	in stock	new	9.90 BRL		https://www.biobonebrazil.com.br/chaveiro-raio-cana?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286812/24f90583d799447ea895a1f4120a254d-w9zjzqgw2r.png	Bio Bone	Sem categoria	
14229	CHAVEIRO RAIO LARANJA	CHAVEIRO RAIO LARANJA	in stock	new	9.90 BRL		https://www.biobonebrazil.com.br/chaveiro-raio-laranja?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286811/746a349836dd43acaa9fe55519aa801d-g9b0fpeaj2.png	Bio Bone	Sem categoria	
14232	CHAVEIRO RAIO MADEIRA	CHAVEIRO RAIO MADEIRA	in stock	new	9.90 BRL		https://www.biobonebrazil.com.br/chaveiro-raio-madeira?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/403286809/40612ba22b944351bb9cf0320ccde5ce-33u7b665bj.png	Bio Bone	Sem categoria	
BSMC	BioSnacks - Maçã com Canela	Petisco Natural de Maçã com Canela – BioBone Saudável, nutritivo e feito com ingredientes que você reconhece! Nosso petisco de Maçã com Canela é uma opção 100% natural para quem busca oferecer ao pet uma alimentação mais consciente e equilibrada. Feito artesanalmente, à mão, com apenas 5 ingredientes : maçã, canela, fatinha de aveia, ovo e óleo de coco. Nada além disso. Sem conservantes. Sem corantes. Sem aditivos químicos. E claro, sem glúten. A conservação do produto acontece de forma natural, graças à...	in stock	new	39.00 BRL		https://www.biobonebrazil.com.br/biosnacks-maca-com-canela?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/356143814/7898975377202-2-gnnsv57zy8.png	Bio Bone	PETISCOS	7898975377233
14209	COMBO PORTE G - MORDIDA EXTRA FORTE (33% OFF)	Biobone – Produto para Cães 100% Vegetal e Sem Plástico A Biobone é uma nova geração de produtos para cães, feita à base de plantas, biodegradável e totalmente livre de plástico. Desenvolvida para atender ao instinto natural de mastigação, é uma alternativa mais segura e moderna aos produtos tradicionais de	in stock	new	406.00 BRL	272.00 BRL	https://www.biobonebrazil.com.br/combo-porte-g-mordida-extra-forte-33-off?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/402837917/f31b649614e10677c598f99f5dd0a6f5-nzlmxa930f.png	Bio Bone	OFERTAS	
MPCA	OSSINHO CARNE - MORDIDA EXTRA FORTE	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	45.00 BRL		https://www.biobonebrazil.com.br/ossinho-sabor-madeira-mordida-extra-forte?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/390518978/4950b06611ec43d09f061f857916a8de-9b5hhiegp6.png	Zero Plastic	PORTE PEQUENO > MORDIDA EXTRA FORTE	7898975377318
MPC	OSSINHO CANA - MORDIDA FORTE	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	45.00 BRL		https://www.biobonebrazil.com.br/ossinho-pequeno-cana-de-acucar?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/301602248/8da299d76b0f4fee8d640ae4c7bccf85-qp7dusjnmm.png	Zero Plastic	PORTE PEQUENO	
PMM	PEIXE PORTE PEQUENO - MORDIDA MODERADA	Conheça a Biobone A Biobone é uma nova geração de produtos para cães: feita à base de plantas, biodegradável e 100% livre de plástico . Criamos uma alternativa real aos materiais sintéticos, unindo tecnologia, segurança e sustentabilidade para atender ao instinto natural de mastigação dos cães. Seu cão ama roer — e a Biobone foi feita exatamente pra isso. 🌱 Do que é feita? A Biobone é produzida através da fermentação do bagaço de cana-de-açúcar — um processo natural, semelhante ao da kombucha ou do pão de...	in stock	new	34.90 BRL		https://www.biobonebrazil.com.br/peixe-mordida-moderada?utm_source=Site&utm_medium=Facebook&utm_campaign=Facebook	https://cdn.awsli.com.br/800x800/2765/2765814/produto/400477944/0c72ec2a352f4f149c14a6408d805fdd-sstiwvaqe2.png	Zero Plastic	PORTE PEQUENO > MORDIDA MODERADA	7898975377462
